1168,"Auces novada Dome","Bēnes vidusskola","Jelgavas iela 27, Bēne, Bēnes pagasts, Auces novads",2,1,"011",1,1,1,"Pamatizglītības programma","V-",1168,"15.01.2010.","31.07.2017.","(nomaiņa)",,,,"Auces novads"
1169,"Auces novada Dome","Bēnes vidusskola","Jelgavas iela 27, Bēne, Bēnes pagasts, Auces novads",2,1,"011",1,2,1,"Pamatizglītības mazākumtautību programma","V-",1169,"15.01.2010.","31.07.2017.","(nomaiņa)",,,,"Auces novads"
1170,"Pārgaujas novada Dome","Raiskuma pamatskola","Alejas iela 2a, Auciems, Raiskuma pagasts, Pārgaujas novads",0,1,"011",1,1,1,"Pirmsskolas izglītības programma","V-",1170,"15.01.2010.","31.07.2018.","(nomaiņa)",,,,"Pārgaujas novads"
1171,"Pārgaujas novada Dome","Raiskuma pamatskola","Alejas iela 2a, Auciems, Raiskuma pagasts, Pārgaujas novads",2,1,"011",1,1,1,"Pamatizglītības programma","V-",1171,"15.01.2010.","31.07.2018.","(nomaiņa)",,"aktualizēta",,"Pārgaujas novads"
1172,"Ventspils pilsētas Dome","Ventspils 2.pamatskola","Bērzu iela 54, Ventspils",2,1,"015",9,1,1,"Speciālās pamatizglītības programma izglītojamajiem ar smagiem garīgās attīstības traucējumiem vai vairākiem smagiem attīstības traucējumiem","V-",1172,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Ventspils"
1173,"Ventspils pilsētas Dome","Ventspils 2.pamatskola","Bērzu iela 54, Ventspils",2,1,"015",8,1,1,"Speciālās pamatizglītības programma izglītojamajiem ar garīgās attīstības traucējumiem ","V-",1173,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Ventspils"
1175,"Sabiedrība ar ierobežotu atbildību ""Prosum''","Privātā pirmsskolas iestāde ""Prosum""","Ainavas iela 4, Rīga",0,1,"011",1,1,1,"Pirmsskolas izglītības programma","V-",1175,"15.01.2010.","uz nenoteiktu laiku",,,,,"Rīga"
1176,"Aglonas novada Dome","Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola","Ezera iela 33, Grāveri, Grāveru pagasts, Aglonas novads",0,1,"011",1,1,1,"Pirmsskolas izglītības programma","V-",1176,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Aglonas novads"
1177,"Aglonas novada Dome","Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola","Ezera iela 33, Grāveri, Grāveru pagasts, Aglonas novads",2,1,"011",1,1,1,"Pamatizglītības programma","V-",1177,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Aglonas novads"
1178,"Aglonas novada Dome","Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola","Ezera iela 33, Grāveri, Grāveru pagasts, Aglonas novads",2,1,"011",1,2,1,"Pamatizglītības mazākumtautību programma","V-",1178,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Aglonas novads"
1181,"Salacgrīvas novada Dome","Salacgrīvas vidusskola","Pērnavas iela 31, Salacgrīva, Salacgrīvas novads",3,1,"011",0,1,1,"Vispārējās vidējās izglītības vispārizglītojošā virziena programma","V-",1181,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Salacgrīvas novads"
1182,"Salacgrīvas novada Dome","Salacgrīvas vidusskola","Pērnavas iela 31, Salacgrīva, Salacgrīvas novads",2,1,"011",1,1,1,"Pamatizglītības programma","V-",1182,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Salacgrīvas novads"
1183,"Salacgrīvas novada Dome","Salacgrīvas vidusskola","Pērnavas iela 31, Salacgrīva, Salacgrīvas novads",3,1,"011",0,1,3,"Vispārējās vidējās izglītības vispārizglītojošā virziena programma","V-",1183,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Salacgrīvas novads"
1184,"Jelgavas novada Dome","Kalnciema vidusskola","""Kalnciema skola"", Valgundes pagasts, Jelgavas novads",0,1,"011",1,1,1,"Pirmsskolas izglītības programma","V-",1184,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Jelgavas novads"
1185,"Jelgavas novada Dome","Kalnciema vidusskola","""Kalnciema skola"", Valgundes pagasts, Jelgavas novads",3,1,"011",0,1,1,"Vispārējās vidējās izglītības vispārizglītojošā virziena programma","V-",1185,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Jelgavas novads"
1186,"Gulbenes novada Dome","Litenes pirmsskolas izglītības iestāde",", Litene, Litenes pagasts, Glbenes novads",0,1,"011",1,1,1,"Pirmsskolas izglītības programma","V-",1186,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Gulbenes novads"
1187,"Kuldīgas novada Dome","Kuldīgas Centra vidusskola","Mucenieku iela 6, Kuldīga, Kuldīgas novads",2,1,"015",6,1,1,"Speciālās pamatizglītības programma izglītojamajiem ar mācīšanās traucējumiem","V-",1187,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Kuldīgas novads"
1188,"Madonas novada Dome","Kusas pamatskola","Skolas iela 3, Kusa, Aronas pagasts, Madonas novads",2,1,"015",6,1,1,"Speciālās pamatizglītības programma izglītojamajiem ar mācīšanās traucējumiem","V-",1188,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Madonas novads"
1189,"Iecavas novada Dome","Sākumskola ""Dartija""","Ozolu iela 2, Iecava, Iecavas novads",1,1,"011",1,1,1,"Pamatizglītības pirmā posma (1.-4.klase) programma","V-",1189,"15.01.2010.","31.07.2016.","(nomaiņa)",,,,"Iecavas novads"
1190,"Rīgas pilsētas Dome","Rīgas 2.speciālā internātpamatskola","Ludzas iela 43, Rīga",2,1,"015",8,1,1,"Speciālās pamatizglītības programma izglītojamajiem ar garīgās attīstības traucējumiem","V-",1190,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Rīga"
1191,"Rīgas pilsētas Dome","Rīgas 2.speciālā internātpamatskola","Ludzas iela 43, Rīga",2,1,"015",8,2,1,"Speciālās pamatizglītības mazākumtautību programma izglītojamajiem ar garīgās attīstības traucējumiem","V-",1191,"15.01.2010.","uz nenoteiktu laiku",,,,,"Rīga"
1192,"Rīgas pilsētas Dome","Rīgas 2.speciālā internātpamatskola","Ludzas iela 43, Rīga",2,1,"015",9,1,1,"Speciālās pamatizglītības programma izglītojamajiem ar smagiem garīgās attīstības traucējumiem vai vairākiem smagiem attīstības traucējumiem","V-",1192,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Rīga"
1193,"Rīgas pilsētas Dome","Rīgas 2.speciālā internātpamatskola","Ludzas iela 43, Rīga",2,1,"015",9,2,1,"Speciālās pamatizglītības mazākumtautību programma izglītojamajiem ar smagiem garīgās attīstības traucējumiem vai vairākiem smagiem attīstības traucējumiem","V-",1193,"15.01.2010.","uz nenoteiktu laiku",,,,,"Rīga"
1194,"Auces novada Dome","Bēnes vidusskola","Jelgavas iela 27, Bēne, Bēnes pagasts, Auces novads",3,1,"011",0,1,1,"Vispārējās vidējās izglītības vispārizglītojošā virziena programma","V-",1194,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Auces novads"
1995,"Saldus novada Dome","Saldus novada pašvaldības Cieceres internātpamatskola","Kalnsētas iela 13, Saldus, Saldus novads",2,1,"015",6,1,1,"Speciālās pamatizglītības programma izglītojamajiem ar mācīšanās traucējumiem","V-",1195,"15.01.2010.","31.07.2018.","(nomaiņa)",,"aktualizēta",,"Saldus novads"
1196,"Saldus novada Dome","Saldus novada pašvaldības Cieceres internātpamatskola","Kalnsētas iela 13, Saldus, Saldus novads",2,1,"011",1,1,1,"Pamatizglītības programma","V-",1196,"15.01.2010.","uz nenoteiktu laiku",,,"aktualizēta",,"Saldus novads"
1207,"Lielvārdes novada Dome","Kaibalas pamatskola","""Kaibalas pamatskola"", Kaibala, Lielvārdes novads",2,1,"011",1,1,1,"Pamatizglītības programma","V-",1207,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Lielvārdes novads"
1212,"Auces novada Dome","Auces vidusskola","Jura Mātera iela 11, Auce, Auces novads",2,1,"011",1,1,1,"Pamatizglītības programma","V-",1212,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Auces novads"
1213,"Auces novada Dome","Auces vidusskola","Jura Mātera iela 11, Auce, Auces novads",3,1,"011",0,1,1,"Vispārējās vidējās izglītības programma","V-",1213,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Auces novads"
1214,"Auces novada Dome","Auces vidusskola","Jura Mātera iela 11, Auce, Auces novads",3,1,"013",0,1,1,"Vispārējās vidējās izglītības matemātikas, dabaszinību un tehnikas virziena programma","V-",1214,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Auces novads"
1216,"Jūrmalas pilsētas Dome","Jūrmalas pilsētas Mežmalas vidusskola","Rūpniecības iela 13, Jūrmala",3,1,"011",0,2,2,"Vispārējās vidējās izglītības vispārizglītojošā virziena mazākumtautību programma","V-",1216,"15.01.2010.","uz nenoteiktu laiku","(pēc IZM parauga)",,,,"Jūrmala"
1217,"Kuldīgas novada Dome","Kuldīgas 2.vidusskola","Jelgavas iela 62, Kuldīga, Kudīgas novads",2,3,"011",1,1,2,"Pamatizglītības otrā posma izglītības programma","V-",1217,"15.01.2010.","uz nenoteiktu laiku",,,,,"Kuldīgas novads"
1218,"Ogres novada Dome","Ķeipenes vispārējā pirmsskolas izglītības iestāde ""Saulīte""","""Saulīte"", Ķeipene, Ķeipenes pagasts, Ogres novads",0,1,"011",1,1,1,"Pirmsskolas izglītības programma","V-",1218,"15.01.2010.","uz nenoteiktu laiku",,,,,"Ogres novads"
1220,"Jelgavas novada Dome","Staļģenes vidusskola","""Staļģenes vidusskola"", Staļģene, Jaunsvirlaukas pagasts, Jelgavas novads",2,1,"011",1,1,1,"Pamatizglītības programma","V-",1220,"15.01.2010.","uz nenoteiktu laiku",,,,,"Jelgavas novads"
1221,"Jelgavas novada Dome","Staļģenes vidusskola","""Staļģenes vidusskola"", Staļģene, Jaunsvirlaukas pagasts, Jelgavas novads",2,1,"011",8,1,1,"Pamatizglītības pedagoģiskās korekcijas izglītības programma","V-",1221,"15.01.2010.","uz nenoteiktu laiku",,,,,"Jelgavas novads"
1222,"Jelgavas novada Dome","Staļģenes vidusskola","""Staļģenes vidusskola"", Staļģene, Jaunsvirlaukas pagasts, Jelgavas novads",2,3,"011",1,1,3,"Pamatizglītības otrā posma programma","V-",1222,"15.01.2010.","uz nenoteiktu laiku",,,,,"Jelgavas novads"
1223,"Jelgavas novada Dome","Staļģenes vidusskola","""Staļģenes vidusskola"", Staļģene, Jaunsvirlaukas pagasts, Jelgavas novads",3,1,"011",0,1,3,"Vispārējās vidējās izglītības vispārizglītojošā virziena programma","V-",1223,"15.01.2010.","uz nenoteiktu laiku",,,,,"Jelgavas novads"
