"Reģistrācijas Nr.","IZM kods","Iestādes nosaukums","1.kl.","2.kl.","3.kl.","4.kl.","5.kl.","6.kl.","7.kl.","8.kl.","9.kl."
"4112900409","211210","Saldus novada pašvaldības Pampāļu pamatskola",11,3,9,5,9,9,3,8,4
"4112900013","211211","Remtes pamatskola",5,5,3,0,3,6,6,8,7
"4112900627","211212","Saldus novada pašvaldības Rubas pamatskola",12,12,13,14,10,15,14,14,15
"4112901052","211214","Saldus novada pašvaldības Striķu pamatskola",7,8,8,10,6,6,9,4,8
"4112901264","211217","Saldus novada pašvaldības Zirņu pamatskola",9,7,10,11,9,10,13,10,6
"4113900420","211302","Saldus 2. vidusskola",25,14,7,10,36,17,36,45,49
"4113901049","211303","Brocēnu vidusskola",53,59,43,42,53,42,35,38,45
"4113901051","211304","Saldus novada pašvaldības Ezeres vidusskola",17,14,7,13,13,11,14,16,17
"4113900416","211305","Saldus novada pašvaldības Kalnu vidusskola",8,9,4,6,2,11,7,13,14
"4113900415","211306","Saldus novada pašvaldības Druvas vidusskola",32,20,17,15,26,12,14,21,30
"4113900155","211307","Saldus 1.vidusskola",12,12,8,5,23,48,51,41,32
"4114900079","211401","Saldus Vakara vidusskola",0,0,0,0,0,0,0,6,14
"4120901053","212201","Saldus novada pašvaldības Rubas speciālā internātpamatskola",1,0,2,3,3,3,7,4,9
"4111900602","221109","Lībagu sākumskola",15,13,10,11,0,0,0,0,0
"4111900592","221110","Talsu sākumskola",70,62,48,26,41,46,0,0,0
"4112900610","221201","Stendes pamatskola",13,7,6,11,14,8,5,12,3
"4112900593","221202","Talsu pamatskola",19,27,24,16,22,30,21,24,24
"4112900615","221204","Kolkas pamatskola",5,5,11,3,6,4,10,14,2
"4112900594","221206","Laucienes pamatskola",21,16,19,15,19,23,21,19,21
"4112900595","221207","Pastendes pamatskola",15,12,11,16,10,10,12,11,10
"4112900612","221208","Pūņu pamatskola",11,10,5,9,7,14,10,16,9
"4112900614","221211","Virbu pamatskola",12,16,8,14,12,8,10,9,10
"4112902872","221214","Vandzenes pamatskola",8,9,8,8,10,9,10,8,8
"4113900621","221301","Dundagas vidusskola",34,27,32,28,27,30,30,29,20
"4113900619","221302","Rojas vidusskola",35,37,31,30,32,26,31,28,25
"4113900620","221303","Sabiles vidusskola",22,15,12,16,12,21,16,16,20
"4119902544","221304","Talsu Valsts ģimnāzija",0,0,0,0,0,0,34,35,43
"4113900617","221305","Talsu 2. vidusskola",60,70,47,44,69,74,67,68,70
"4113900616","221306","Valdemārpils vidusskola",31,29,30,18,19,20,34,31,24
"4113900624","221307","Mērsraga vidusskola",15,19,17,8,14,12,17,20,18
"4113801678","221380","Talsu Kristīgā vidusskola",25,35,22,34,22,22,21,20,17
"4114900622","221401","Talsu novada Vakara un neklātienes vidusskola",0,0,0,0,0,0,4,16,19
"4122901355","222201","Mazirbes internātpamatskola",0,1,1,3,0,4,1,5,2
"4122901278","222202","Upesgrīvas internātpamatskola",3,6,7,11,6,8,16,15,26
"4311900252","231102","Milzkalnes sākumskola",19,17,18,18,7,8,0,0,0
"4311900233","231103","Sēmes sākumskola",14,15,9,9,0,0,0,0,0
"4311900237","231104","Matkules sākumskola",7,6,5,5,3,9,0,0,0
"4312900232","231202","Tukuma E. Birznieka-Upīša 1. pamatskola",51,34,35,43,27,37,34,33,28
"4312900231","231205","Cēres pamatskola",9,8,8,8,6,9,7,7,8
"4312900208","231208","Lapmežciema pamatskola",22,22,19,13,9,18,7,12,8
"4312900227","231212","Pūres pamatskola",27,20,31,25,19,21,19,17,12
"4312900209","231213","Smārdes pamatskola",24,21,17,20,18,11,18,14,16
"4312900251","231215","Vānes pamatskola",8,7,7,8,11,8,8,10,8
"4312900246","231216","Kandavas novada Zantes pamatskola",10,12,14,13,11,12,12,7,9
"4312900210","231218","Zemītes pamatskola",8,1,2,4,5,9,11,13,8
"4312902393","231222","Tukuma 2. pamatskola",60,60,60,59,58,55,48,39,43
"4312900238","231223","Tukuma 3. pamatskola",18,34,21,15,34,18,17,21,10
"4312900235","231224","Džūkstes pamatskola",10,12,10,13,14,12,21,25,14
"4313900205","231301","Kandavas Kārļa Mīlenbaha vidusskola",31,54,23,46,42,52,25,49,35
"4316902392","231302","Tukuma Raiņa ģimnāzija",0,0,0,0,0,0,23,41,40
"4313900224","231303","Tukuma 2. vidusskola",71,73,68,59,64,63,50,59,54
"4313900228","231305","Engures vidusskola",21,23,25,25,22,29,29,29,23
"4313900229","231306","Irlavas vidusskola",11,14,16,16,13,12,13,22,14
"4313900207","231307","Jaunpils vidusskola",29,19,19,35,20,29,19,25,17
"4313900250","231308","Zemgales vidusskola (Tukuma novads)",29,20,19,25,26,23,22,20,23
"4313900352","231309","Kandavas internātvidusskola",26,25,42,32,28,39,39,21,31
"4313900230","231311","Tumes vidusskola",22,12,21,21,21,20,35,21,20
"4314900206","231401","Tukuma Vakara un neklātienes vidusskola",0,0,0,0,0,0,18,23,36
"4322900223","232201","Tukuma internātpamatskola",13,7,17,9,13,7,6,21,19
"4322900212","232202","Dzirciema internātpamatskola",4,7,4,8,9,6,9,12,13
"4411902496","241101","Smiltenes Trīs pakalnu sākumskola",54,44,34,47,32,33,0,0,0
"4411901211","241102","Launkalnes sākumskola",6,5,5,7,0,0,0,0,0
"4412901216","241204","Bilskas pamatskola",6,5,11,6,3,10,7,6,4
"4412901209","241206","Blomes pamatskola",9,12,9,10,9,14,10,6,7
"4412901220","241208","Ērģemes pamatskola",8,6,3,7,5,1,8,8,7
"4412901320","241209","Ēveles pamatskola",4,4,5,1,4,8,7,2,10
"4412901221","241210","Grundzāles pamatskola",13,5,7,8,12,8,8,9,8
"4412901217","241211","Kārķu pamatskola",2,2,3,9,1,8,6,6,2
"4412901219","241213","Variņu pamatskola",4,4,6,7,7,8,9,9,9
"4412901069","241214","Ozolu pamatskola",2,3,3,6,3,4,7,8,8
"4412901218","241215","Palsmanes pamatskola",17,14,15,12,8,10,9,9,9
"4412901204","241216","Trikātas pamatskola",7,7,11,13,9,10,13,7,5
"4412901210","241217","Vijciema pamatskola",3,3,3,10,6,3,5,3,7
"4412902396","241220","Valkas pamatskola",51,55,46,42,64,60,29,20,34
"4416902397","241301","Valkas ģimnāzija",0,0,0,0,0,0,21,47,25
"4416901205","241304","Smiltenes ģimnāzija",0,0,0,0,0,0,32,48,30
"4413902791","241305","Strenču novada vidusskola",29,28,14,20,30,16,34,24,25
"4413900897","241306","Smiltenes Centra vidusskola",43,41,43,36,39,42,38,36,42
"4422900893","242201","Palsmanes internātpamatskola",8,3,7,4,6,6,4,9,3
"4411900652","251106","Vilpulkas sākumskola",4,3,7,8,0,0,0,0,0
"4411900650","251107","Brenguļu sākumskola",7,8,5,7,0,0,0,0,0
"4411902431","251110","Ramatas sākumskola",7,5,7,7,0,0,0,0,0
"2511902432","251111","Valmieras Pārgaujas sākumskola",98,114,96,79,90,77,0,0,0
"2511902507","251112","Valmieras sākumskola",85,94,92,82,82,72,0,0,0
"4412900648","251203","Jura Neikena Dikļu pamatskola",8,11,6,10,12,12,12,5,10
"4412902792","251204","Jaunburtnieku pamatskola",2,7,9,5,5,10,11,9,15
"4412900639","251205","Jeru pamatskola",10,6,8,11,11,15,23,8,14
"4412900640","251206","J. Endzelīna Kauguru pamatskola",13,11,11,8,12,23,17,10,8
"4412900647","251207","Kocēnu pamatskola",36,22,27,13,24,15,19,19,25
"4412900636","251209","Matīšu pamatskola",9,12,7,8,13,10,10,9,9
"4412900645","251210","Rencēnu pamatskola",10,6,9,10,8,10,10,12,9
"4412900637","251211","Rubenes pamatskola (Kocēnu novads)",11,8,10,12,12,19,13,11,10
"4418000073","251216","Sociālās korekcijas izglītības iestāde ""Naukšēni""",0,0,0,0,4,3,4,7,5
"2512803021","251281","Pamatskola ""Universum""",20,8,9,4,4,7,0,0,0
"2519902526","251301","Valmieras Valsts ģimnāzija",0,0,0,0,0,0,60,73,67
"2513901058","251302","Valmieras 2. vidusskola",30,16,25,22,24,22,36,44,53
"2513900631","251303","Valmieras Viestura vidusskola",83,64,70,46,73,59,62,63,67
"2516900630","251304","Valmieras Pārgaujas ģimnāzija",0,0,0,0,0,0,90,88,84
"2513901081","251305","Valmieras 5. vidusskola",41,30,29,29,20,29,19,26,17
"4413901013","251306","Mazsalacas vidusskola",18,20,23,24,23,35,30,22,36
"4413900654","251307","Rūjienas vidusskola",44,30,39,35,47,33,37,39,31
"4413902802","251308","Naukšēnu novada vidusskola",10,11,15,19,14,17,18,18,24
"4413900632","251309","Burtnieku Ausekļa vidusskola",9,11,14,12,8,12,7,6,11
"4422901174","252201","Vaidavas internātpamatskola",0,2,2,0,0,0,1,8,7
"4422901173","252202","Dauguļu internātpamatskola",3,3,1,3,6,9,5,2,8
