"municipality","school"
"Liepāja","Liepājas Valsts tehnikums"
"Liepāja","Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums"""
"Liepāja","Liepājas mākslas vidusskola"
"Limbažu novads",NA
"Limbažu novads","Limbažu Jauniešu un pieaugušo vakara (maiņu) vidusskola"
"Limbažu novads","Limbažu 2. vidusskola"
"Limbažu novads","Limbažu Profesionālā vidusskola"
"Limbažu novads","Limbažu 1. vidusskola"
"Ludzas novads","Ņukšu pamatskola"
"Madonas novads","Ļaudonas vidusskola"
"Madonas novads",NA
"Mālpils novads","Sidgundas pamatskola"
"Mālpils novads","Mālpils vidusskola"
"Naukšēnu novads","Naukšēnu vidusskola"
"Ogres novads","Ogres ģimnāzija"
"Ogres novads","Taurupes vidusskola"
"Ogres novads","Ogres Sv. Meinarda katoļu pamatskola"
"Ogres novads","Suntažu sanatorijas internātpamatskola"
"Ogres novads",NA
"Ogres novads","Ogres Vakara vidusskola"
"Ogres novads","Meņģeles pamatskola"
"Ogres novads","Lauberes pamatskola"
"Ogres novads","Mazozolu pamatskola"
"Ogres novads","Ogres 1.vidusskolas vakara un neklātienes nodaļa"
"Olaines novads","Olaines 1. vidusskolaOlaines 1. vidusskola"
"Pārgaujas novads","Raiskuma pamatskola"
"Pārgaujas novads","Raiskuma speciālā internātpamatskola – rehabilitācijas centrs"
"Pārgaujas novads","Stalbes vidusskolas struktūrvienība"
"Preiļu novads",NA
"Preiļu novads","Preiļu Valsts ģimnāzija"
"Preiļu novads","Salas pamatskola (Preiļi)"
"Rēzekne","Rēzeknes poļu vidusskola"
"Rēzekne","Rēzeknes Valsts ģimnāzija"
"Rēzeknes novads","Maltas 2. vidusskola"
"Rēzeknes novads","Makašānu Amatu vidusskola"
"Rēzeknes novads",NA
"Rēzeknes novads","Maltas 2.vidusskolas filiāle"
"Rēzeknes novads","Maltas 1. vidusskola"
"Rēzeknes novads","Rikavas pamatskola"
"Rēzeknes novads","Zarečnajas pamatskola"
"Rēzeknes novads","Liepu pamatskola"
"Riebiņu novads","Silajāņu pamatskola"
"Rīga","Rīgas pilsētas 2. ģimnāzija"
"Rīga","Rīgas Baltkrievu pamatskola"
"Rīga","Rīgas 1. vakara (maiņu) vidusskola"
"Rīga","Rīgas 1.vakara (maiņu) vidusskola (Iļģuciema cietums)"
"Rīga","Rīgas 7. internātpamatskola"
"Rīga","Rīgas Šampētera vidusskola"
"Rīga","Rīgas pilsētas 3. ģimnāzija"
"Rīga","Rīgas 99. vidusskola"
"Rīga","Rīgas M. Lomonosova krievu vidusskola"
"Rīga","Natālijas Draudziņas ģimnāzija"
"Rīga","Rīgas 62. vidusskola"
"Rīga","Rīgas 90. vidusskola"
"Rīga","Rīgas Igauņu vidusskola"
"Rīga","Rīgas Krievu vidusskola"
"Rīga","Rīgas Universālā vidusskola"
"Rīga",NA
"Rīga","Rīgas komercģimnāzija"
"Rīga","Rīgas 3. arodskola"
"Rīga","Rīgas Lastādijas internātvidusskola"
"Rīga","Rīgas Lastādijas internātvidusskola (Rīgas Centrālcietums)"
"Rīga","Rīgas 100. vidusskola"
"Rīga","Rīgas Ezerkrastu vidusskola"
"Rīga","Rīgas 16. vidusskola"
"Rīga","Rīgas Būvniecības vidusskola"
"Rīga","Rīgas Stila un modes profesionālā vidusskola"
"Rīga","SIA „Rīgas Tālmācības vidusskola”"
"Rīga","Rīgas ģimnāzija ""Maksima"""
"Rīga","Rīgas Herdera vidusskola"
"Rīga","Rīgas Sergeja Žoltoka vidusskola (š.cietums)"
"Rīga","Rīgas Valsts tehnikums"
"Rīga","Privātskola „Innova”"
"Rīga","Rīgas Tirdzniecības tehnikums"
"Rīga","Rīgas Valsts 2.ģimnāzija"
"Rīga","Rīgas Natālijas Draudziņas vidusskola "
"Rīga","Rīgas 1. privātā vidusskola"
"Rīga","Privātskola ""Innova"""
"Rīga","Rīgas 3.arodskola"
"Rīga","Rīgas Tālmācības vidusskola"
"Rucavas novads","Sikšņu pamatskola"
"Rucavas novads","Sikšņu pamatskola (Rucava)"
"Rundāles novads","Saulaines Profesionālā vidusskola"
"Saldus novads","Saldus ģimnāzija"
"Saldus novads","Saldus novada pašvaldības Kurzemītes pamatskola"
"Saldus novads","Nīgrandes pamatskola"
"Saldus novads","Saldus novada pašvaldības Sātiņu pamatskola"
"Siguldas novads","Siguldas 2. vidusskola"
"Siguldas novads","Siguldas novada vidusskola"
"Skrundas novads","Skrundas arodvidusskola"
"Skrundas novads","Skrundas Profesionālā vidusskola"
"Stopiņu novads",NA
"Strenču novads","Strenču novada vidusskolas filiāle (Plāņu)"
"Strenču novads","Strenču novada vidusskolas filiāle (Sedas)"
"Talsu novads","Laidzes Profesionālā vidusskola"
"Talsu novads","Vandzenes vidusskola"
"Talsu novads","Laucienes pamatskolas filiāle"
"Talsu novads","Laidzes pamatskola"
"Talsu novads","Pastendes pamatskolas filiāle"
"Tērvetes novads",NA
"Tērvetes novads","Tērvetes pamatskola"
"Tukuma novads","Tukuma 3. vidusskola"
"Tukuma novads","Sēmes pamatskola"
"Tukuma novads",NA
"Tukuma novads","Praviņu pamatskola"
"Tukuma novads","Zemgales vidusskola"
"Tukuma novads","Zemgales vidusskola (Tukums)"
"Tukuma novads","Zemgales vidusskola (Tukuma nov.)"
"Valmiera","Valmieras vājdzirdīgo bērnu internātpamatskola - attīstības centrs"
"Valmiera","Valmieras 2.vidusskolas filiāle"
"Valmiera","Valmieras Mākslas vidusskola"
"Vārkavas novads","Vanagu pamatskola"
"Vecpiebalgas novads",NA
"Vecumnieku novads","Vecumnieku novada Domes Bārbeles pamatskola"
"Vecumnieku novads","Kurmenes pamatskola"
"Ventspils","Ventspils Profesionālā vidusskola"
"Ventspils","Ziemeļkurzemes Profesionālās izglītības kompetences centrs ""Ventspils Profesionālā vidusskola"""
"Ventspils","Ventspils Tehnikums"
"Viļakas novads","Kupravas pamatskola"
"Viļakas novads","Mežvidu pamatskola"
"Zilupes novads","Zilupes arodvidusskola"
