"municipality","school","renamed"
"Kuldīgas novads","Kuldīgas Tehnoloģiju un tūrisma profesionālā vidusskola","Kuldīgas Tehnoloģiju un tūrisma tehnikums"
"Viļakas novads","Kupravas pamatskola","NA"
"Vecumnieku novads","Kurmenes pamatskola","NA"
"Talsu novads","Laidzes pamatskola","NA"
"Talsu novads","Laidzes Profesionālā vidusskola","PIKC Rīgas Valsts tehnikuma Laidzes profesionālā struktūrvienība"
"Rīga","Latvijas Universitāte","Latvijas Universitāte, Pirmsstudiju mācību centrs"
"Ogres novads","Lauberes pamatskola","NA"
"Talsu novads","Laucienes pamatskolas filiāle","NA"
"Madonas novads","Ļaudonas vidusskola","NA"
"Jelgava","Lazdiņas privātā vidusskola ""Punktiņš""","Lazdiņas privātā pamatskola ""Punktiņš"""
"Dobeles novads","Lejasstrazdu pamatskola","NA"
"Liepāja","Liepājas 3. pamatskolaLiepājas 3. pamatskola","NA"
"Liepāja","Liepājas mākslas vidusskola","NA"
"Liepāja","Liepājas Valsts tehnikums","NA"
"Krustpils novads","Liepenes pamatskola","NA"
"Rēzeknes novads","Liepu pamatskola","NA"
"Limbažu novads","Limbažu 1. vidusskola","NA"
"Limbažu novads","Limbažu 2. vidusskola","NA"
"Limbažu novads","Limbažu Jauniešu un pieaugušo vakara (maiņu) vidusskola","NA"
"Limbažu novads","Limbažu Profesionālā vidusskola","PIKC Rīgas Valsts tehnikuma Limbažu teritoriālā struktūrvienība"
"Jūrmala","Majoru pamatskola","NA"
"Rēzeknes novads","Makašānu Amatu vidusskola","NA"
"Kārsavas novads","Malnavas koledžas profesionālā vidusskola","Malnavas koledža"
"Mālpils novads","Mālpils vidusskola","Mālpils novada vidusskola"
"Rēzeknes novads","Maltas 1. vidusskola","Maltas vidusskola"
"Rēzeknes novads","Maltas 2. vidusskola","Maltas vidusskola"
"Rēzeknes novads","Maltas 2.vidusskolas filiāle","Maltas vidusskola"
"Kandavas novads","Matkules pamatskola","NA"
"Ogres novads","Mazozolu pamatskola","NA"
"Daugavpils novads","Medumu vidusskola","Medumu pamatskola"
"Ogres novads","Meņģeles pamatskola","NA"
"Kārsavas novads","Mežvidu pamatskola","Mežvidu pamatskola (Kārsavas novads)"
"Viļakas novads","Mežvidu pamatskola","Mežvidu pamatskola (Viļakas novads)"
"Kārsavas novads","Mežvidu pamatskola (Kārsavas)","Mežvidu pamatskola (Kārsavas novads)"
"Balvu novads","Mežvidu pamatskola (Viļakas)","Mežvidu pamatskola (Viļakas novads)"
"Jūrmala","Murjāņu sporta ģimnāzija Jūrmalas filiāle","NA"
"Rīga","Natālijas Draudziņas ģimnāzija","Rīgas Natālijas Draudziņas vidusskola"
"Dobeles novads","Naudītes pamatskola","NA"
"Naukšēnu novads","Naukšēnu vidusskola","Naukšēnu novada vidusskola"
"Saldus novads","Nīgrandes pamatskola","NA"
"Ludzas novads","Ņukšu pamatskola","NA"
"Ogres novads","Ogres 1.vidusskolas vakara un neklātienes nodaļa","NA"
"Ikšķiles novads","Ogres Amatniecības vidusskola","Ogres tehnikums"
"Ogres novads","Ogres ģimnāzija","NA"
"Ikšķiles novads","Ogres Meža tehnikums","Ogres tehnikums"
"Ikšķiles novads","Ogres Profesionālā vidusskola","Ogres tehnikums"
"Ogres novads","Ogres Sv. Meinarda katoļu pamatskola","NA"
"Ogres novads","Ogres Vakara vidusskola","NA"
"Ikšķiles novads","Ogres Valsts tehnikums","Ogres tehnikums"
"Olaines novads","Olaines 1. vidusskolaOlaines 1. vidusskola","NA"
"Gulbenes novads","Ozolkalna pamatskola","NA"
"Talsu novads","Pastendes pamatskolas filiāle","NA"
"Jaunpiebalgas novads","Piebalgas pamatskola","NA"
"Jelgavas novads","Platones pamatskola","NA"
"Tukuma novads","Praviņu pamatskola","NA"
"Preiļu novads","Preiļu Valsts ģimnāzija","NA"
"Priekuļu novads","Priekuļu un Jāņmuižas tehnikums","Priekuļu tehnikums"
"Ādažu novads","Privātā vidusskola Ādažu Brīvā Valdofa skola","NA"
"Rīga","Privātskola ""Innova""","NA"
"Rīga","Privātskola „Innova”","NA"
"Liepāja","Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums""","NA"
"Alojas novads","Puikules pamatskola","NA"
"Pārgaujas novads","Raiskuma pamatskola","NA"
"Pārgaujas novads","Raiskuma speciālā internātpamatskola – rehabilitācijas centrs","Raiskuma internātpamatskola – rehabilitācijas centrs"
"Gulbenes novads","Rankas arodvidusskola","Rankas Profesionālā vidusskola"
"Gulbenes novads","Rankas Profesionālā vidusskola","NA"
"Durbes novads","Rāvas pamatskola","NA"
"Rēzekne","Rēzeknes poļu vidusskola","Rēzeknes valsts poļu ģimnāzija"
