"Novads","Skola","Kopvērtējums"
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas 80. vidusskola",66.05%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas Herdera vidusskola",85.23%
"Rīgas pilsēta (Vidzemes priekšp.)","Š. Dubnova Rīgas Ebreju vidusskola",73.11%
"Rīgas pilsēta (Vidzemes priekšp.)","Privātā vidusskola ""Klasika""",79.36%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas 9. vakara (maiņu) vidusskola",51.50%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas Centra krievu privātģimnāzija",61.06%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas Klasiskā ģimnāzija",75.38%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas Būvniecības vidusskola",57.51%
"Rīgas pilsēta (Vidzemes priekšp.)","Rīgas Stila un modes profesionālā vidusskola",53.79%
"Rīgas pilsēta (Zemgales priekšp.)","Rīgas 47. vidusskola",64.01%
"Rīgas pilsēta (Zemgales priekšp.)","Rīgas 94. vidusskola",56.44%
"Rīgas pilsēta (Zemgales priekšp.)","Rīgas 53. vidusskola",53.79%
"Rīgas pilsēta (Zemgales priekšp.)","Rīgas 95. vidusskola",75.76%
"Rīgas pilsēta (Zemgales priekšp.)","Rīgas vispārizglītojošā privātā vidusskola ""Evrika""",59.34%
"Rīgas pilsēta (Zemgales priekšp.)","Rīgas Zolitūdes ģimnāzija",58.33%
"Rīgas pilsēta (Zemgales priekšp.)","Āgenskalna Valsts ģimnāzija",90.91%
"Rīgas pilsēta (Ziemeļu raj.)","Rīgas 31. vidusskola",66.52%
"Rīgas pilsēta (Ziemeļu raj.)","Rīgas Jāņa Poruka vidusskola",71.46%
"Rīgas pilsēta (Ziemeļu raj.)","Rīgas Kultūru vidusskola",74.21%
"Rīgas pilsēta (Ziemeļu raj.)","Puškina licejs",67.17%
"Rīgas pilsēta (Ziemeļu raj.)","Rīgas 10. vidusskola",79.64%
"Rīgas pilsēta (Ziemeļu raj.)","Rīgas 29. vidusskola",39.60%
"Rīgas pilsēta (Ziemeļu raj.)","Rīgas 46. vidusskola",56.56%
"Rīgas pilsēta (Ziemeļu raj.)","Rīgas 18. vakara (maiņu) vidusskola",47.23%
"Rīgas pilsēta (Ziemeļu raj.)","Rīgas pilsētas 2. ģimnāzija",79.29%
"Rīgas pilsēta (Ziemeļu raj.)","Rīgas 66. speciālā vidusskola",76.26%
"Rojas novads","Mērsraga vidusskola",50.00%
"Rojas novads","Rojas vidusskola",46.97%
"Rundāles novads","Pilsrundāles vidusskola",72.58%
"Rūjienas novads","Rūjienas vidusskola",68.06%
"Salas novads","Salas vidusskola",76.39%
"Salaspils novads","Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",26.52%
"Saldus novads","Saldus Vakara vidusskola",58.95%
"Sējas novads","Murjāņu sporta ģimnāzija",61.74%
"Siguldas novads","Siguldas 2. vidusskola",64.55%
"Skrundas novads","Skrundas vidusskola",49.24%
"Smiltenes novads","Smiltenes Centra vidusskola",77.46%
"Smiltenes novads","Smiltenes ģimnāzija",46.97%
"Talsu novads","Sabiles vidusskola",44.89%
"Talsu novads","Valdemārpils vidusskola",46.72%
"Talsu novads","Talsu novada Vakara un neklātienes vidusskola",41.67%
"Talsu novads","Vandzenes vidusskola",41.02%
"Tukuma novads","Tukuma 3. vidusskola",59.64%
"Tukuma novads","Tukuma Vakara un neklātienes vidusskola",45.77%
"Valkas novads","Valkas ģimnāzija",64.14%
"Valmieras pilsēta","Valmieras Viestura vidusskola",73.41%
"Valmieras pilsēta","Valmieras 2. vidusskola",57.58%
"Valmieras pilsēta","Valmieras Pārgaujas ģimnāzija",74.50%
"Valmieras pilsēta","Valmieras Valsts ģimnāzija",81.82%
"Vārkavas novads","Vārkavas vidusskola",62.60%
"Vecpiebalgas novads","Cēsu pilsētas vakara vidusskolas Vecpiebalgas konsult. punkts",39.85%
"Vecumnieku novads","Misas vidusskola",62.95%
"Vecumnieku novads","Skaistkalnes vidusskola",60.90%
"Ventspils novads","Piltenes vidusskola",75.49%
"Ventspils novads","Ugāles vidusskola",74.47%
"Ventspils pilsēta","Ventspils 4. vidusskola",63.07%
"Ventspils pilsēta","Ventspils 6. vidusskola",84.60%
"Ventspils pilsēta","Ventspils 1. ģimnāzija",80.68%
"Viļānu novads","Viļānu vidusskola",45.91%
